 time            v(A0)           v(A1)           v(A2)           v(A3)           v(B0)           v(B1)           v(B2)           v(B3)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(C4)          
 1.09385041e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  9.34768141e-05  1.79998248e+00  1.79998201e+00  1.79999988e+00  1.79999857e+00 
 1.10393182e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -7.00852417e-05  1.79989314e+00  1.79998385e+00  1.80000005e+00  1.80000108e+00 
 1.12409465e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  8.02622825e-05  1.80013396e+00  1.79998265e+00  1.79999989e+00  1.79999870e+00 
 1.16442029e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -7.65396795e-05  1.79985687e+00  1.79998472e+00  1.80000005e+00  1.80000104e+00 
 1.24507158e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  7.74131930e-05  1.80014700e+00  1.79998434e+00  1.79999990e+00  1.79999875e+00 
 1.40637416e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -7.70602378e-05  1.79985135e+00  1.79998755e+00  1.80000005e+00  1.80000106e+00 
 1.72897932e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  7.71437351e-05  1.80014955e+00  1.79998866e+00  1.79999990e+00  1.79999880e+00 
 2.00000000e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -7.70393652e-05  1.79984958e+00  1.79999157e+00  1.80000005e+00  1.80000109e+00 
 2.00100000e-08  1.80000000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.27946581e-05  1.80002499e+00  1.79999129e+00  1.80000007e+00  1.80000037e+00 
 2.00300000e-08  5.40000000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  6.76824093e-06  1.80001638e+00  1.79999038e+00  1.79999983e+00  1.79999926e+00 
 2.00700000e-08  1.26000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.24811368e-04  1.79998160e+00  1.79999001e+00  1.79999988e+00  1.80000001e+00 
 2.01000000e-08  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.58881348e-05  1.80003090e+00  1.79999733e+00  1.80000122e+00  1.80000429e+00 
