 time            v(CLK)          v(A0i)          v(A1i)          v(A2i)          v(A3i)          v(A4i)          v(B0i)          v(B1i)          v(B2i)          v(B3i)          v(B4i)          v(Cini)         v(S0o)          v(S1o)          v(S2o)          v(S3o)          v(S4o)          v(Couto)       
 3.84833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -5.27388059e-05 -5.92435806e-05  1.22950451e-07 -5.91868553e-05 -5.70692162e-05 -2.12408563e-05 
 3.94833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  7.28425709e-05  7.95654417e-05 -2.52023277e-07  7.94567542e-05  7.73358443e-05  2.05508848e-05 
 4.04833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -4.77038573e-05 -5.44779010e-05  7.04367013e-07 -5.43091283e-05 -5.20626303e-05 -1.95973053e-05 
 4.14833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  6.69131374e-05  7.38925095e-05 -8.23170297e-07  7.36756226e-05  7.14279435e-05  1.89650098e-05 
 4.24833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -4.30315430e-05 -5.00590448e-05  1.25006791e-06 -4.97866453e-05 -4.74174101e-05 -1.80781940e-05 
 4.34833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  6.14398448e-05  6.86603671e-05 -1.35781763e-06  6.83435480e-05  6.59756125e-05  1.74982672e-05 
 4.44833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -3.86940674e-05 -4.59590043e-05  1.76065726e-06 -4.55910983e-05 -4.31059189e-05 -1.66716660e-05 
 4.54833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.63809487e-05  6.38271534e-05 -1.85706784e-06  6.34183816e-05  6.09371486e-05  1.61386383e-05 
 4.64833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -3.46668086e-05 -4.21533157e-05  2.23731853e-06 -4.16977221e-05 -3.91036397e-05 -1.53657394e-05 
 4.74833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.17003686e-05  5.93569999e-05 -2.32242985e-06  5.88639494e-05  5.62764849e-05  1.48789136e-05 
 4.84833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -3.09275653e-05 -3.86201885e-05  2.68156720e-06 -3.80844007e-05 -3.53884384e-05 -1.41565654e-05 
 4.94833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.73664330e-05  5.52186710e-05 -2.75562700e-06  5.46486788e-05  5.19619460e-05  1.37103962e-05 
 5.04833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.74560649e-05 -3.53399288e-05  3.09508840e-06 -3.47310843e-05 -3.19400849e-05 -1.30339880e-05 
 5.14833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.33509982e-05  5.13846065e-05 -3.15847351e-06  5.07446418e-05  4.79653745e-05  1.26253152e-05 
 5.24833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.42336364e-05 -3.22945507e-05  3.47963266e-06 -3.16194036e-05 -2.87399347e-05 -1.19911560e-05 
 5.34833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.96288156e-05  4.78302337e-05 -3.53279609e-06  4.71268726e-05  4.42615031e-05  1.16172705e-05 
 5.44833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.12429872e-05 -2.94675077e-05  3.83694993e-06 -2.87324096e-05 -2.57707116e-05 -1.10221025e-05 
 5.54833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.61770671e-05  4.45334621e-05 -3.88038575e-06  4.37728718e-05  4.08274938e-05  1.06805460e-05 
 5.64833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.84680442e-05 -2.68435027e-05  4.16874935e-06 -2.60543908e-05 -2.30163533e-05 -1.01214275e-05 
